bostoncollege,Boston College
champlainstlambert,Champlain Saint-Lambert
chicoutimi,Chicoutimi
collegedalma,Collège d'Alma
jonquiere,Jonquière
loutaouais,l'Outaouais
lapocatiere,La Pocatière
rimouski,Rimouski
shawinigan,Shawinigan
sthyacinthe,St-Hyacinthe
stjerome,St-Jérôme
thetford,Thetford
cgpresidenciales,CGP
unam,CU UNAM
ipnsantotomas,IPN
ipnzacatenco,IPN
tepeyac,Tepeyac
chihuahua,UACH
uanl,UANL
lomasverdes,UVM Lomas Verdes
itq,ITQ
anahuaccancun,UACAN
uach,UACh
uadec,UAdeC
uaem,UAEM
uag,UAG
uatreynosa,UAT Reynosa
uatvictoria,UAT Victoria
unamacatlan,UNAM
veracruzana,UV
cem,ITESM Estado México
monterrey,ITESM Monterrey
puebla,ITESM Puebla
csf,ITESM Santa Fe
toluca,ITESM Toluca
udlap,UDLAP
cetysmexicali,CETYS Mexicali
cetystijuana,CETYS Tijuana
itson,ITSON Obregón
lapaz,La Paz
ensenada,UABC Ensenada
mexicali,UABC Mexicali
tijuana,UABC Tijuana
unison,UNISON
ccm,ITESM Ciudad México
guadalajara,ITESM Guadalajara
queretaro,ITESM Querétaro
uamn,UAMN
umad,UMAD
adelaide,Adelaide
canberra,Canberra
melbourne,Melbourne
monash,Monash
sydney,Sydney
unisa,UniSA
unsw,UNSW
uts,UTS
ufersa,UFERSA
ufpr,UFPR
aast,AAST
auc,AUC
bue,BUE
cairo,Cairo
guc,GUC
msa,MSA
aachen,Aachen
cologne,Cologne
hsu,HSU
karlsruhe,KIT
mainz,Mainz
mannheim,Mannheim
niederrhein,Niederrhein
paderborn,Paderborn
passau,Passau
limerick,Limerick
trinity,Trinity (Dublin)
ucdublin,UC Dublin
aalto,Aalto
aboakademi,Abo Akademi
jyvaskyla,Jyväskylä
kyamk,KyAMK
lappeenranta,Lappeenranta
ndu,NDU
shs,SHS
tamperetech,Tampere Tech Mavericks
tcfa,TCFA
tuas,TUAS
utu,UTU
wasa,Wasa
carlberg,Carlberg
handels,Handels
kau,KAU
kth,KTH
orebro,Örebro
stockholm,Stockholm
uppsala,Uppsala
jkuat,JKUAT
samburu,Samburu
umoja,Umoja
uon,UON
gardabrae,Garðabæ
grafarvogur,Grafarvogur
kopavogur,Kópavogur
amu,AMU
bordeaux,Bordeaux
bordeauxmontaigne,Bordeaux Montaigne
cpelyon,CPE Lyon
escdijon,ESC Dijon
esmeesg,ESME-ESG
inptoulouse,INP Toulouse
liesti,l'EISTI
leonarddevinci,Leonard de Vinci
lorraine,Lorraine
parisinalco,Paris & Inalco
paris813,Paris 8 & 13
parisdauphine,Paris Dauphine
parisdiderot,Paris Diderot
parisrenedescartes,Paris René Descartes
usac,USAC
abu,ABU
lagos,Lagos Marines
kyoto,京都大学 (Kyōto)
doshisha,同志社大学 (Dōshisha)
konan,甲南大学 (Konan)
kobe,神戸大学 (Kōbe)
ritsumeikan,立命館大学 (Ritsumeikan)
kansai,関西大学 (Kansai)
kwanseigakuin,関西学院大学 (Kwansei Gakuin)
ryukoku,龍谷大学 (Ryūkoku)
nssu,NSSU
chuo,中央大学 (Chūō)
keio,慶應義塾大学 (Keiō)
nihon,日本大学 (Nihon)
waseda,早稲田大学 (Waseda)
meiji,明治大学 (Meiji)
hosei,法政大学 (Hōsei)
rikkyo,立教大学 (Rikkyō)
kokushikan,国士舘大学 (Kokushikan)
senshu,専修大学 (Senshu)
teikyo,帝京大学 (Teikyo)
takushoku,拓殖大学 (Takushoku)
tokyo,東京大学 (Tōkyō)
tokyogakugei,東京学芸大学 (Tokyo Gakugei)
yokohamanational,横浜国立大学 (Yokohama National)
komazawa,駒澤大学 (Komazawa)
yamaguchi,山口大学 (Yamaguchi)
shimane,島根大学 (Shimane)
hiroshima,広島大学 (Hiroshima)
ehime,愛媛大学 (Ehime)
hokuseigakuen,北星学園大学 (Hokusei Gakuen)
hokkaigakuen,北海学園大学 (Hokkai Gakuen)
hokkaido,北海道大学 (Hokkaidō)
obihiro,帯広大学 (Obihiro)
sapporo,札幌大学 (Sapporo)
sapporogakuin,札幌学院大学 (Sapporo Gakuin)
toyama,富山大学 (Toyama)
fukui,福井大学 (Fukui)
fukuiprefectural,福井県立大学 (Fukui Prefectural)
kanazawa,金沢大学 (Kanazawa)
kanazawatech,金沢工業大学 (Kanazawa Institute of Technology)
kurume,久留米大学 (Kurume)
kyushu,九州大学 (Kyūshū)
ryukyus,琉球大学大学 (Ryūkyūs)
fukuoka,福岡大学 (Fukuoka)
fukuokaeducation,福岡教育大学 (Fukuoka University of Education)
seinangakuin,西南学院大学 (Seinan Gakuin)
sendai,仙台大学 (Sendai)
iwate,岩手大学 (Iwate)
tohoku,東北大学 (Tōhoku)
tohokugakuin,東北学院大学 (Tōhoku Gakuin)
akita,秋田大学 (Akita)
chukyo,中京大学 (Chūkyō)
nanzan,南山大学 (Nanzan)
nagoya,名古屋大学 (Nagoya)
meijo,名城大学 (Meijō)
gifu,岐阜大学 (Gifu)
aichi,愛知大学 (Aichi)
kyotosangyo,京都産業大学 (Kyoto Sangyo)
hyogo,兵庫大学 (Hyogo)
osakahs,大阪体育科学大学 (Osaka Health and Sport Science)
osaka,大阪大学 (Osaka)
osakagakuin,大阪学院大学 (Osaka Gakuin)
osakaprefecture,大阪府立大学 (Osaka Prefecture)
osakakyoiku,大阪教育大学 (Osaka Kyoiku)
osakasangyo,大阪産業大学 (Osaka Sangyo)
standrews,桃山学院大学アメリカンフットボール部 (St. Andrew's)
kobegakuin,神戸学院大学 (Kobe Gakuin)
kindai,近畿大学 (Kinki)
otemongakuin,追手門学院大学 (Otemon Gakuin)
hitotsubashi,一橋大学 (Hitotsubashi)
sophia,上智大学 (Sophia)
gakushuin,学習院大学 (Gakushuin)
seijo,成城大学 (Seijo)
seiki,成蹊大学 (Seikei)
meijigakuin,明治学院大学 (Meiji Gakuin)
tit,東工大 (Tōkyō Institute of Tech)
toyo,東洋大学 (Toyo)
tokai,東海大学 (Tokai)
obirin,桜美林大学 (Obirin)
musashi,武蔵大学 (Musashi)
kanagawa,神奈川大学 (Kanagawa)
tsukuba,筑波大学 (Tsukuba)
kantogakuin,関東学院大学 (Kanto Gakuin)
nationaldefense,防衛大学校 (National Defense Academy)
aoyamagakuin,青山学院大学 (Aoyama Gakuin)
matsuyama,松山大学 (Matsuyama)
prefectural,立大学 (Prefectural)
kochi,高知大学 (Kochi)
hokkaidohs,健康科学北海道大学 (Health Sciences Hokkaido)
hokkaidotech,北海道工業大学 (Hokkaidō Institute of Technology)
murorantech,室蘭工業大学 (Muroran Institute of Technology)
tokyoagriculture,東京農業大学 (Tokyo Agriculture)
kushiro,釧路公共経済学 (Kushiro Public Economics)
kumadai,Kumadai大学 (Kumadai)
kyushutech,九州工業大学 (Kyushu Institute of Technology)
kyushusangyo,九州産業大学 (Kyushu Sangyo)
saga,佐賀大学 (Saga)
miyazaki,宮崎大学 (Miyazaki)
npu,長崎大学 (Nagasaki)
kagoshima,鹿児島大学 (Kagoshima)
kitasatovmas,北里大学のVMA大学 (Kitasato VMAS)
yamagata,山形大学 (Yamagata)
hirosaki,弘前大学 (Hirosaki)
nihonengineering,日本エンジニアリング大学 (Nihon Engineering)
tohokutech,東北工業大学 (Tohoku Institute of Technology)
mie,三重大学 (Mie)
shinshu,信州大学 (Shinshu)
nagoyaucb,名古屋UCB大学 (Nagoya UCB)
nagoyagakuin,名古屋学院大学 (Nagoya Gakuin)
nagoyatech,名古屋工業大学 (Nagoya Institute of Technology)
yokkaichi,四日市大学 (Yokkaichi)
aichigakuin,愛知学院大学 (Aichi Gakuin)
nihonfukushi,日本福祉大学 (Nihon Fukushi)
tokaimarine,東海大学海洋科学大学 (Tokai Marine Science)
shizuoka,静岡大学 (Shizuoka)
kyotoforeign,京都外国語大学 (Kyoto Foreign Studies)
kyotoeducation,京都大学教育学 (Kyoto Education)
kyotogakuin,京都学院大学 (Kyoto Gakuin)
kyototech,京都工芸繊維大学 (Kyoto Institute of Technology)
kyotoprefectural,京都府立大学 (Kyoto Prefectural)
kyotopharm,京都薬科大学 (Kyoto Pharmaceutical)
buddhist,仏教の大学 (Buddhist)
wakayama,和歌山大学 (Wakayama)
osakaeconomics,大阪大学経済学研究 (Osaka Economics)
osakacity,大阪市立大学 (Osaka City)
osakaarts,大阪芸術大学 (Osaka Arts)
tenri,天理大学 (Tenri)
okayama,岡山大学 (Okayama)
tezukayama,帝塚山大学 (Tezukayama)
setsunan,摂南大学 (Setsunan)
ryutsukagaku,流通科学大学 (Ryutsu Kagaku)
shiga,滋賀大学 (Shiga)
kansaigaidai,関西外国語大学 (Kansai Gaidai)
kyotoseika,京都精華大学 (Kyoto Seika)
hyogomedicine,兵庫医療大学 (Hyogo Medicine)
kibi,吉備大学 (Kibi)
otani,大谷大学 (Otani)
osakacommerce,大阪商業大学 (Osaka Commerce)
osakainternational,大阪国際大学 (Osaka International)
osakatech,大阪工業大学 (Osaka Institute of Technology)
osakael,大阪経済と法大学 (Osaka Economics and Law)
osakaec,大阪電気通信大学 (Osaka Electro-Communication)
himejidokkyo,姫路獨協大学 (Himeji Dokkyo)
okayamascience,岡山科学大学 (Okayama Science)
tokushima,徳島大学 (Tokushima)
kobeinternational,神戸国際大学 (Kobe International)
hannan,阪南大学 (Hannan)
tottori,鳥取大学 (Tottori)
asia,亜細亜大学 (Asia)
soka,創価大学 (Soka)
chiba,千葉大学 (Chiba)
internationalchristian,国際基督教大学 (International Christian)
josai,城西大学 (Josai)
saitama,埼玉大学 (Saitama)
daitobunka,大東文化大学 (Daito Bunka)
utsunomiya,宇都宮大学 (Utsunomiya)
bunkyo,文教大学 (Bunkyo)
niigata,新潟大学 (Niigata)
tokyointernational,東京国際大学 (Tokyo International)
tokyoforeign,東京外国語大学 (Tokyo Foreign Studies)
tokyokeizai,東京経済大学 (Tokyo Keizai)
tokyoat,東京農工大学 (Tokyo Agriculture and Technology)
tokyocity,東京都市大学 (Tokyo City)
tokyomet,東京都立大学 (Tokyo Metropolitan)
yokohamacity,横浜市立大学 (Yokohama City)
ryutsukeizai,流通経済大学 (Ryutsu Keizai)
tamagawa,玉川大学 (Tamagawa)
shibaura,芝浦工業大学 (Shibaura Institute of Technology)
ibaraki,茨城大学 (Ibaraki)
electrocomm,電気通信大学 (University of Electro-Communications)
takasaki,高崎市立大学 (Takasaki City)
jobu,上武大学 (Jobu)
chibacommerce,千葉商工大学 (Chiba Commerce)
yamanashi,山梨大学 (Yamanashi)
kogakuin,工学院大学 (Kogakuin)
teikyoheisei,帝京平成大学 (Teikyo Heisei)
nippon,日本工業大学 (Nippon Institute of Technology)
meisei,明星大学 (Meisei)
kyorin,杏林大学 (Kyorin)
tokyotech,東京工科大学 (Tokyo University of Technology)
tokyoscience,東京科学大学 (Tokyo Science)
edogawa,江戸川大学 (Edogawa)
dokkyo,獨協大学 (Dokkyo)
hakuoh,白鴎大学 (Hakuoh)
kanagawatech,神奈川工科大学 (Kanagawa Institute of Technology)
kanda,神田大学 (Kanda)
rissho,立正大学 (Rissho)
takachiho,高千穂大学 (Takachiho)
tianjin,天津大学 (Tianjin)
shandong,山东大学 (Shandong)
wuhan,武汉大学 (Wuhan)
shenyang,沈阳大学 (Shenyang)
hebei,河北大学 (Hebei)
xian,西安交通大学 (Xi'an)
jiaotong,上海交通大学 (Jiao Tong)
shanghai,上海大学 (Shanghai)
sues,上海工程技术大学 (SUES)
ecust,华东理工大学 (ECUST)
tongji,同济大学 (Tongji)
cumt,中国矿业大学 (CUMT)
bjtu,北京交通大学 (Beijing Jiao Tong)
beijingsport,北京体育大学 (Beijing Sport)
buct,北京化工大学 (BUCT)
bjut,北京工业大学 (BJUT)
beijingnormal,北京师范大学 (Beijing Normal)
bucea,北京建筑大学 (BUCEA)
bfu,北京林业大学 (Beijing Forestry)
bit,北京理工大学 (BIT)
buu,北京联合大学 (Beijing Union)
bupt,北京邮电大学 (BUPT)
uir,国际关系学院 (International Relations)
tsinghua,清华大学 (Tsinghua)
cipe,首都体育学院 (CIPE)
cnu,首都师范大学 (Capital Normal)
cueb,首都经济贸易大学 (CUEB)
scut,华南理工大学 (South China Tech)
gdut,广东工业大学 (Guangdong Tech)
huali,广东工业大学华立学院 (Huali)
gdei,广东教育学院 (Guangdong Education)
gdepc,广东环境保护工程职业学院 (GDEPC)
gzhtcm,广州中医药大学 (GZUCM)
gsu,广州体育学院 (Guangzhou Sport)
sise,广州大学华软软件学院 (SISE)
nyushanghai,NYU Shanghai
shcp,上海交通职业技术学院 (SCP)
sus,上海体育学院 (Shanghai Sport)
shnu,上海师范大学 (SHNU)
sit,上海应用技术学院 (Shanghai Tech)
usst,上海理工大学 (USST)
ecupsl,华东政法大学 (ECUPSL)
sumc,四川传媒学院 (SUMC)
fudan,复旦大学 (Fudan)
uestc,电子科技大学 (UESTC)
swufe,西南财大 (SWUFE)
bangalore,Bangalore
gndu,GNDU
jain,Jain
lovely,Lovely Professional
madras,Madras
mdrohtak,MD Rohtak
osmania,Osmania
pup,PUP
auro,Auro
brambedkar,brambedkar
chandigarh,Chandigarh
gujarat,Gujarat
jaipurnational,Jaipur National
jecrc,JECRC
kolkata,Kolkata
lakshminarain,Lakshmi Narain Tech
panjab,Panjab
poornima,Poornima
sathyabama,Sathyabama
soa,SOA
kyungsung,경성대학교 (Kyungsang)
eastwest,동서대학교 (East-West)
donga,동아대학교 (Dong-A)
eui,동의대학교 (Eui)
pukyong,부경대학교 (Pukyong)
pusannational,부산대학교 (Pusan National)
pusanforeignstudies,부산외국어대학교 (Pusan Foreign Studies)
silla,신라대학교 (Silla)
ulsan,울산대학교 (Ulsan)
koreamaritime,한국해양대학교 (Korea Maritime)
koreannavalacademy,해군사관학교 (Korean Naval Academy)
kangwonnational,강원대학교 (Kangwon National)
konkuk,건국대학교 (Konkuk)
korea,고려대학교 (Korea)
donggukseoul,동국대학교 서울캠퍼스 (Dongguk Seoul)
seoulnational,서울대학교 (Seoul National)
uos,서울시립대학교 (Seoul)
sungkyunkwan,성균관대학교 (Sungkyunkwan)
yonsei,연세대학교 (Yonsei)
yongin,용인대학교 (Yongin)
inha,인하대학교 (Inha)
chungang,중앙대학교 (Chungang)
hufs,한국외국어대학교 (HUFS)
hallym,한림대학교 (Hallym)
hanyang,한양대학교 (Hanyang)
hongik,홍익대학교 (Honggik)
kyungpooknational,경북대학교 (Kyungpook National)
kyungil,경일대학교 (Kyungil)
keimyung,계명대학교 (Keimyung)
kumohtech,금오공과대학교 (Kumoh Tech)
daeguhaany,대구대학교 (Daegu Haany)
daegucatholic,대구카톨릭대학교 (Daegu Catholic)
daegu,대구한의대학교 (Daegu)
dongguk,동국대학교 (Dongguk)
yeungnam,영남대학교 (Yeungnam)
uiduk,위덕대학교 (Uidik)
handongglobal,한동대학교 (Handong Global)
akdeniz,Akdeniz
anadolu,Anadolu
atilim,Atilim
bilkent,Bilkent
bogazici,Boğaziçi
gazi,Gazi
hacettepe,Hacettepe
isik,Işik
istanbulbilgi,İstanbul Bilgi
istanbulteknik,İstanbul Teknik
izmirekonomi,İzmir Ekonomi
kocaeli,Kocaeli
metu,METU
suleymandemirel,Süleyman Demirel
yeditepe,Yeditepe
yildiz,Yildiz Teknik
aibu,Aibü
ankara,Ankara
antalya,Antalya
baskent,Başkent
canakkalegsk,Çanakkale GSK
dokuzeylul,Dokuz Eylül
dumlupinar,Dumlupinar
ege,Ege
emu,EMU
gediz,Gediz
istanbul,İstanbul
koc,Koç
kocatepe,Kocatepe
sakarya,Sakarya
tobbetu,Tobb ETU
uludag,Uludağ
yasar,Yaşar
bostonuniversity,Boston University
canisius,Canisius
csufullerton,CSU Fullerton
csulongbeach,CSU Long Beach
csunorthridge,CSU Northridge
evansville,Evansville
fairfield,Fairfield
hofstra,Hofstra
iona,Iona
lasalle,La Salle
northeastern,Northeastern
pacific,Pacific
santaclara,Santa Clara
setonhall,Seton Hall
siena,Siena
stjohnsny,St. John's (NY)
stmarys,St. Mary's (CA)
stpeters,St. Peter's
ucsb,UCSB
umes,UMES
utarlington,UT Arlington
wichitastate,Wichita State
bradley,Bradley
denver,Denver
detroitmercy,Detroit
drexel,Drexel
georgewashington,George Washington
highpoint,High Point
ualr,Little Rock
loyolamarymount,Loyola Marymount
marquette,Marquette
milwaukee,Milwaukee
mountstmary,Mount St. Mary
niagara,Niagara
nyu,NYU
pepperdine,Pepperdine
rider,Rider
sanfrancisco,San Francisco
stbonaventure,St. Bonaventure
texasamcorpuschristi,Texas A&M-Corpus Christi
texaspanamerican,Texas-Pan American
ucriverside,UC Riverside
uic,UIC
uncasheville,UNC Asheville
vermont,Vermont
xavier,Xavier
american,American University
carlisle,Carlisle
centenary,Centenary
collegecharleston,Charleston (SC)
creighton,Creighton
depaul,DePaul
gonzaga,Gonzaga
longisland,Long Island
loyolachicago,Loyola Chicago
loyolamaryland,Loyola Maryland
manhattan,Manhattan
portland,Portland
providence,Providence
saintlouis,Saint Louis
stfrancisbrooklyn,St. Francis Brooklyn
stjosephspa,St. Joseph's (PA)
allen,Allen
barberscotia,Barber-Scotia
blackburn,Blackburn
coloradocollege,Colorado College
georgiasouthwesternstate,Georgia Southwestern State
haskell,Haskell
king,King (TN)
lambuth,Lambuth Eagles
menlo,Menlo
morrisbrown,Morris Brown
nebraskaomaha,Omaha
paine,Paine
paulquinn,Paul Quinn
principia,Principia
sitanka,Si Tanka
stpaulsva,St. Paul's (VA)
stillman,Stillman
westernwashington,Western Washington
westvirginiatech,WVU Tech
brooklyn,Brooklyn
cameron,Cameron
chicostate,Chico State
csueastbay,CSU East Bay
knoxville,Knoxville
leesmcrae,Lees-McRae
massachusettsboston,Massachusetts Boston
massachusettslowell,Massachusetts Lowell
mountscenario,Mount Scenario
newjerseycity,New Jersey City
oregontech,Oregon Institute of Technology
ramapo,Ramapo
sanfranciscostate,San Francisco State
sonomastate,Sonoma State
stmaryoftheplains,St. Mary of the Plains
suebennett,Sue Bennett
swarthmore,Swarthmore
tarkio,Tarkio
tennesseewesleyan,Tennessee Wesleyan
universitydc,University of the District of Columbia
upsala,Upsala
wisconsinsuperior,Wisconsin-Superior
baptistchristian,Baptist Christian
bluefieldstate,Bluefield State
calpolypomona,Cal Poly Pomona
calwestern,Cal Western
caltech,Caltech
csula,CSU LA
fisk,Fisk
fortlauderdalecollege,Fort Lauderdale College
lubbockchristian,Lubbock Christian
milton,Milton
montanastatebillings,Montana State-Billings
newyorktech,New York Institute of Technology
northeasternillinois,Northeastern Illinois
rit,RIT
rogerwilliams,Roger Williams
saleminternational,Salem International
southdakotaspringfield,South Dakota-Springfield
stleo,St. Leo
sunyoswego,SUNY Oswego
sunyplattsburgh,SUNY Plattsburgh
westminsterut,Westminster (UT)
whitman,Whitman
yankton,Yankton
bridgeport,Bridgeport
claflin,Claflin
collegeofemporia,College of Emporia
collegeoftheozarks,College of the Ozarks
denmarktech,Denmark Tech
dillard,Dillard
haverford,Haverford
hiramscott,Hiram Scott
jarvischristian,Jarvis Christian
midwesterncollege,Midwestern College
morris,Morris
newengland,New England
northlandwi,Northland (WI)
northwoodtx,Northwood (TX)
parsons,Parsons
philandersmith,Philander Smith
rust,Rust
tampa,Tampa
tidewatercc,Tidewater CC
ucsd,UCSD
wiley,Wiley
adelphi,Adelphi
alaskafairbanks,Alaska Fairbanks
brandeis,Brandeis
californiabaptist,California Baptist
cedarville,Cedarville
champlain,Champlain
clarkson,Clarkson
daviselkins,Davis & Elkins
erskine,Erskine
floridamemorial,Florida Memorial
leland,Leland
lewis,Lewis
nebraskacentral,Nebraska Central
reed,Reed
scranton,Scranton
stmarysmn,St. Mary's (MN)
stmichaelsvt,St. Michael's (VT)
tougaloo,Tougaloo
uniontn,Union (TN)
vanguard,Vanguard
williamcarey,William Carey
xavierlouisiana,Xavier Louisiana
yorkne,York (NE)
aquinasmi,Aquinas (MI)
barton,Barton
canterburyin,Canterbury (IN)
ccny,CCNY
danielbaker,Daniel Baker
detroittech,Detroit Tech
hustontillotson,Huston-Tillotson
lakesuperiorstate,Lake Superior State
lemoyneowen,LeMoyne-Owen
lewisclarkstate,Lewis-Clark State
milligan,Milligan
oklahomacity,Oklahoma City
rollins,Rollins
santafeartanddesign,Santa Fe Art and Design
shawcollegeatdetroit,Shaw College at Detroit
simmonsky,Simmons (KY)
southernidahoeducation,Southern Idaho Education
stmartins,St. Martin's
washingtonmd,Washington (MD)
alliance,Alliance
athensstate,Athens State
belmontabbey,Belmont Abbey
franciscansteubenville,Franciscan Steubenville
huntington,Huntington
normanga,Norman (GA)
oglethorpe,Oglethorpe
piedmont,Piedmont
regis,Regis
riogrande,Rio Grande
roanoke,Roanoke
selma,Selma
southgeorgia,South Georgia
springhill,Spring Hill
stedwards,St. Edward's
stmarystx,St. Mary's (TX)
talladega,Talladega
texaswesleyan,Texas Wesleyan
transylvania,Transylvania
andrews,Andrews
arcadia,Arcadia
atlantic,Atlantic
baltimore,Baltimore
bard,Bard
christianbrothers,Christian Brothers
cooperunion,Cooper Union
drury,Drury
floridasouthern,Florida Southern
augusta,Augusta
keenestate,Keene State
lincolnmemorial,Lincoln Memorial
loyolaneworleans,Loyola New Orleans
northgeorgia,North Georgia
philau,PhilaU
phillips,Phillips
stevenstech,Stevens Institute of Technology
sunyfarmingdale,SUNY Farmingdale
sunyfredonia,SUNY Fredonia
sunygeneseo,SUNY Geneseo
sunynewpaltz,SUNY New Paltz
sunypotsdam,SUNY Potsdam
webbinstitute,Webb Institute
anokaramsey,Anoka-Ramsey CC
byuidaho,BYU-Idaho
centralia,Centralia
centurycollege,Century
clackamascc,Clackamas CC
collegemarin,Marin
columbiabasin,Columbia Basin
cowleycountycc,Cowley County CC
dakotactc,Dakota CTC
gccr,Grand Rapids CC
goldenvalleylutheran,Golden Valley Lutheran
graysharbor,Grays Harbor
harfordcc,Harford CC
harper,Harper
hibbingcc,Hibbing CC
illinoisvalleycc,Illinois Valley CC
indianhillscc,Indian Hills CC
iowalakescc,Iowa Lakes CC
jolietjc,Joliet JC
kempermilitaryjc,Kemper Military JC
kennedyking,Kennedy-King
marionmilitary,Marion Military
marshalltowncc,Marshalltown CC
midplainscc,Mid-Plains CC
montgomery,Montgomery
morainevalleycc,Moraine Valley CC
morton,Morton
neworleans,New Orleans
normandalecc,Normandale CC
northiowaareacc,North Iowa Area CC
olympicjc,Olympic JC
potomacstate,Potomac State
prattcc,Pratt CC
rainyrivercc,Rainy River CC
rangerjc,Ranger JC
riverlandcc,Riverland CC
rockvalley,Rock Velley
shorelinecc,Shoreline CC
solanocc,Solano CC
southeastcc,Southeast CC
southsuburbancc,South Suburban CC
spokanefallscc,Spokane Falls CC
sunycanton,SUNY-Canton
taft,Taft
texarkanacollege,Texarkana
treasurevalleycc,Treasure Valley CC
trinidadstatejc,Trinidad State JC
tritoncollege,Triton
usueastern,USU Eastern
wenatcheevalley,Wenatchee Valley
westvalley,West Valley
westchestercc,Westchester CC
whartoncountyjc,Wharton County JC
wilburwright,Wilbur Wright
yakimavalleycc,Yakima Valley CC
capebreton,Cape Breton
moncton,Moncton Junior
laurentian,Laurentian
rmc,RMC
rmcstjean,RMC Saint-Jean
upei,UPEI
uqam,UQAM
havana,Havana
dcu,DCU
esiqieipn,ESIQIE-IPN
heroicocolegiomilitar,Heroico Colegio Militar
mexicocitycollege,Mexico City College
unib,UNIB
aberdeen,Aberdeen
aston,Aston
dundee,Dundee
falmouth,Falmouth
strathclyde,Strathclyde
wolverhampton,Wolverhampton
