bostoncollege,Boston College
fortvalleystate,Fort Valley State
kentuckystate,Kentucky State
lane,Lane
milescollege,Miles
morehouse,Morehouse
tuskegee,Tuskegee
brevard,Brevard
carsonnewman,Carson-Newman
catawba,Catawba
lenoirrhyne,Lenoir-Rhyne
limestone,Limestone
marshill,Mars Hill
newberry,Newberry
tusculum,Tusculum
uncpembroke,UNC Pembroke
wingate,Wingate
belhaven,Belhaven
easttexasbaptist,East Texas Baptist
hardinsimmons,Hardin-Simmons
howardpayne,Howard Payne
louisianacollege,Louisiana College
umhb,Mary Hardin-Baylor
mcmurry,McMurry
sulrossstate,Sul Ross State
augustana,Augustana (IL)
carthage,Carthage
carrollwi,Carroll (WI)
elmhurst,Elmhurst
illinoiswesleyan,Illinois Wesleyan
millikin,Millikin
northcentral,North Central
northpark,North Park
wheaton,Wheaton (IL)
dickinson,Dickinson
franklinmarshall,Franklin & Marshall
gettysburg,Gettysburg
johnshopkins,Johns Hopkins
juniata,Juniata
mcdaniel,McDaniel
moravian,Moravian
muhlenberg,Muhlenberg
susquehanna,Susquehanna
ursinus,Ursinus
alfredstate,Alfred State
annamaria,Anna Maria
becker,Becker
castleton,Castleton
dean,Dean
gallaudet,Gallaudet
husson,Husson
mountida,Mount Ida
norwich,Norwich
sunymaritime,SUNY-Maritime
alfred,Alfred
brockport,Brockport
buffalostate,Buffalo State
sunycortland,Cortland State
hartwick,Hartwick
ithaca,Ithaca
morrisvillestate,Morrisville State
stjohnfisher,St. John Fisher
utica,Utica
anderson,Anderson (IN)
bluffton,Bluffton
defiance,Defiance
earlham,Earlham
franklin,Franklin
hanover,Hanover
manchester,Manchester (IN)
mountstjoseph,Mount St. Joseph
rosehulman,Rose-Hulman
buenavista,Buena Vista
central,Central
coe,Coe
dubuque,Dubuque
loras,Loras
luther,Luther
nebraskawesleyan,Nebraska Wesleyan
simpson,Simpson
wartburg,Wartburg
hobart,Hobart
merchantmarine,Merchant Marine
rochester,Rochester
rpi,RPI
